IncomingPassengers,Line,NameOfStation,OutgoingPassengers,Quarter,Year,global_id
1317067,Солнцевская линия,Озёрная,1301533,I квартал,2021,1138976456
674911,Московское центральное кольцо,Локомотив,758584,I квартал,2021,1138976457
978570,Солнцевская линия,Говорово,922490,I квартал,2021,1138976458
1258539,Солнцевская линия,Солнцево,1206585,I квартал,2021,1138976460
1235721,Солнцевская линия,Новопеределкино,1183238,I квартал,2021,1138976463
1481009,Солнцевская линия,Рассказовка,1383504,I квартал,2021,1138976465
614931,Московское центральное кольцо,Андроновка,628492,I квартал,2021,1138976466
494519,Московское центральное кольцо,Новохохловская,520755,I квартал,2021,1138976471
30234,Московская монорельсовая транспортная система,Телецентр,27626,I квартал,2021,1138976472
329670,Московское центральное кольцо,Угрешская,356471,I квартал,2021,1138976473
824899,Московское центральное кольцо,Лихоборы,842746,I квартал,2021,1138976478
549471,Московское центральное кольцо,ЗИЛ,578450,I квартал,2021,1138976480
1128115,Московское центральное кольцо,Верхние Котлы,1180003,I квартал,2021,1138976482
2138809,Московское центральное кольцо,Ростокино,2173513,I квартал,2021,1138976485
910616,Московское центральное кольцо,Площадь Гагарина,1125787,I квартал,2021,1138976487
680069,Московское центральное кольцо,Лужники,804553,I квартал,2021,1138976489
687328,Московское центральное кольцо,Измайлово,750448,I квартал,2021,1138976492
343860,Московское центральное кольцо,Зорге,361909,I квартал,2021,1138976500
491565,Московское центральное кольцо,Панфиловская,522341,I квартал,2021,1138976503
970050,Московское центральное кольцо,Балтийская,1038238,I квартал,2021,1138976507
782159,Московское центральное кольцо,Крымская,819785,I квартал,2021,1138976511
1333667,Арбатско-Покровская линия,Пятницкое шоссе,1273524,II квартал,2021,1138976512
1236714,Арбатско-Покровская линия,Волоколамская,1222309,II квартал,2021,1138976517
1938816,Арбатско-Покровская линия,Строгино,1903731,II квартал,2021,1138976522
1849616,Арбатско-Покровская линия,Крылатское,1818208,II квартал,2021,1138976524
1078075,Московское центральное кольцо,Стрешнево,1126433,I квартал,2021,1138976527
1111465,Московское центральное кольцо,Коптево,1164799,I квартал,2021,1138976530
4160386,Арбатско-Покровская линия,Славянский бульвар,4104955,II квартал,2021,1138976531
1913498,Арбатско-Покровская линия,Митино,1829031,II квартал,2021,1138976534
1375188,Арбатско-Покровская линия,Мякинино,1316352,II квартал,2021,1138976538
3757697,Арбатско-Покровская линия,Бауманская,3919091,II квартал,2021,1138976546
1208463,Арбатско-Покровская линия,Партизанская,1200756,II квартал,2021,1138976553
2324687,Арбатско-Покровская линия,Площадь Революции,2319343,II квартал,2021,1138976555
1369579,Арбатско-Покровская линия,Измайловская,1376937,II квартал,2021,1138976556
1976604,Замоскворецкая линия,Речной вокзал,1932752,II квартал,2021,1138976567
2554914,Арбатско-Покровская линия,Первомайская,2542396,II квартал,2021,1138976568
2905932,Замоскворецкая линия,Ховрино,2705635,II квартал,2021,1138976571
3431294,Замоскворецкая линия,Войковская,3442260,II квартал,2021,1138976572
2093304,Замоскворецкая линия,Беломорская,2007519,II квартал,2021,1138976573
2542811,Замоскворецкая линия,Сокол,2578121,II квартал,2021,1138976574
2489724,Замоскворецкая линия,Маяковская,2571541,II квартал,2021,1138976582
2538480,Замоскворецкая линия,Аэропорт,2583879,II квартал,2021,1138976583
2020297,Замоскворецкая линия,Динамо,2079478,II квартал,2021,1138976585
2109249,Замоскворецкая линия,Новокузнецкая,2219337,II квартал,2021,1138976590
1146154,Замоскворецкая линия,Технопарк,1162163,II квартал,2021,1138976591
3580149,Замоскворецкая линия,Коломенская,3599846,II квартал,2021,1138976593
4117891,Замоскворецкая линия,Царицыно,3994639,II квартал,2021,1138976600
3131961,Замоскворецкая линия,Кантемировская,3092603,II квартал,2021,1138976601
1398352,Замоскворецкая линия,Орехово,1345932,II квартал,2021,1138976602
4450182,Замоскворецкая линия,Домодедовская,4159656,II квартал,2021,1138976605
1316075,Замоскворецкая линия,Красногвардейская,1301729,II квартал,2021,1138976607
988704,Замоскворецкая линия,Алма-Атинская,962339,II квартал,2021,1138976610
1020585,Сокольническая линия,Черкизовская,1054918,II квартал,2021,1138976614
3228211,Сокольническая линия,Преображенская площадь,3269102,II квартал,2021,1138976615
1648441,Сокольническая линия,Красносельская,1701806,II квартал,2021,1138976620
1650218,Сокольническая линия,Красные ворота,1708029,II квартал,2021,1138976624
1408538,Сокольническая линия,Чистые пруды,1447537,II квартал,2021,1138976626
1865427,Сокольническая линия,Лубянка,1890479,II квартал,2021,1138976627
3420698,Сокольническая линия,Охотный ряд,3387393,II квартал,2021,1138976629
1742530,Сокольническая линия,Кропоткинская,1816394,II квартал,2021,1138976632
1901807,Сокольническая линия,Фрунзенская,1998937,II квартал,2021,1138976635
2043642,Сокольническая линия,Университет,2064788,II квартал,2021,1138976641
3423128,Сокольническая линия,Юго-Западная,3418276,II квартал,2021,1138976645
740197,Сокольническая линия,Румянцево,742271,II квартал,2021,1138976649
2757179,Сокольническая линия,Саларьево,2458870,II квартал,2021,1138976652
469635,Сокольническая линия,Филатов луг,445592,II квартал,2021,1138976654
188614,Сокольническая линия,Прокшино,182256,II квартал,2021,1138976656
549001,Сокольническая линия,Ольховая,527416,II квартал,2021,1138976657
847290,Сокольническая линия,Коммунарка,836196,II квартал,2021,1138976660
3359419,Арбатско-Покровская линия,Молодёжная,3298594,I квартал,2021,1139049528
3331331,Арбатско-Покровская линия,Киевская,3129823,I квартал,2021,1139049531
2327645,Арбатско-Покровская линия,Электрозаводская,2436895,I квартал,2021,1139049535
3359419,Арбатско-Покровская линия,Молодёжная,3298594,II квартал,2021,1139049536
2266813,Арбатско-Покровская линия,Семёновская,2324677,I квартал,2021,1139049537
1958499,Замоскворецкая линия,Белорусская,1905578,I квартал,2021,1139049538
2393179,Замоскворецкая линия,Павелецкая,2070862,I квартал,2021,1139049539
2634591,Замоскворецкая линия,Автозаводская,2791137,I квартал,2021,1139049540
1571003,Замоскворецкая линия,Каширская,1585223,I квартал,2021,1139049541
2266813,Арбатско-Покровская линия,Семёновская,2324677,II квартал,2021,1139049542
1650435,Сокольническая линия,Бульвар Рокоссовского,1655224,I квартал,2021,1139049543
2362784,Сокольническая линия,Комсомольская,1923867,I квартал,2021,1139049545
432777,Сокольническая линия,Парк культуры,451062,I квартал,2021,1139049546
5543321,Арбатско-Покровская линия,Щёлковская,5302295,I квартал,2021,1139049547
5543321,Арбатско-Покровская линия,Щёлковская,5302295,II квартал,2021,1139049549
1848329,Кольцевая линия,Проспект Мира,1915719,I квартал,2021,1139049552
3456703,Кольцевая линия,Курская,3105337,I квартал,2021,1139049553
1183701,Калужско-Рижская линия,Ботанический сад,1358532,I квартал,2021,1139049558
3917616,Калужско-Рижская линия,Китай-город,4045824,I квартал,2021,1139049560
861044,Калужско-Рижская линия,Октябрьская,908603,I квартал,2021,1139049561
467068,Филёвская линия,Кутузовская,515967,I квартал,2021,1139049564
1596567,Филёвская линия,Смоленская,1638176,I квартал,2021,1139049565
399914,Филёвская линия,Арбатская,389484,I квартал,2021,1139049566
671055,Большая кольцевая линия,Хорошёвская,655755,I квартал,2021,1139049567
962588,Таганско-Краснопресненская линия,Таганская,993427,I квартал,2021,1139049568
4013551,Таганско-Краснопресненская линия,Текстильщики,3984078,I квартал,2021,1139049569
1552498,Калининская линия,Шоссе Энтузиастов,1674641,I квартал,2021,1139049570
1132860,Серпуховско-Тимирязевская линия,Владыкино,1352091,I квартал,2021,1139049573
1605226,Серпуховско-Тимирязевская линия,Тимирязевская,1578393,I квартал,2021,1139049574
2107496,Серпуховско-Тимирязевская линия,Улица академика Янгеля,2057374,I квартал,2021,1139049575
715105,Бутовская линия Лёгкого метро,Бульвар адмирала Ушакова,706348,I квартал,2021,1139049576
454262,Люблинско-Дмитровская линия,Окружная,454400,I квартал,2021,1139049577
1740583,Люблинско-Дмитровская линия,Петровско-Разумовская,1725688,I квартал,2021,1139049578
2310752,Люблинско-Дмитровская линия,Марьина роща,2365007,I квартал,2021,1139049579
572449,Люблинско-Дмитровская линия,Крестьянская застава,601333,I квартал,2021,1139049580
1348774,Люблинско-Дмитровская линия,Дубровка,1423578,I квартал,2021,1139049581
1599447,Люблинско-Дмитровская линия,Печатники,1608840,I квартал,2021,1139049582
610629,Некрасовская линия,Нижегородская,819794,I квартал,2021,1139049583
714213,Некрасовская линия,улица Дмитриевского,698967,I квартал,2021,1139049584
511498,Солнцевская линия,Деловой центр,504452,I квартал,2021,1139049587
318720,Солнцевская линия,Парк Победы,332196,I квартал,2021,1139049588
565615,Солнцевская линия,Мичуринский проспект,563879,I квартал,2021,1139049589
4117891,Замоскворецкая линия,Царицыно,3994639,I квартал,2021,1139049590
3106411,Калужско-Рижская линия,Новые Черёмушки,3160892,I квартал,2021,1139049591
4651899,Калужско-Рижская линия,Тёплый стан,4591088,I квартал,2021,1139049592
744466,Люблинско-Дмитровская линия,Сретенский бульвар,786496,I квартал,2021,1139049594
3932383,Арбатско-Покровская линия,Киевская,3676697,II квартал,2021,1139049597
2632175,Арбатско-Покровская линия,Электрозаводская,2785369,II квартал,2021,1139049601
2798329,Замоскворецкая линия,Водный стадион,2787327,II квартал,2021,1139049602
2362539,Замоскворецкая линия,Белорусская,2271261,II квартал,2021,1139049603
2855906,Замоскворецкая линия,Павелецкая,2418131,II квартал,2021,1139049604
2980641,Замоскворецкая линия,Автозаводская,3149007,II квартал,2021,1139049605
1641960,Замоскворецкая линия,Каширская,1666429,II квартал,2021,1139049606
1784777,Сокольническая линия,Бульвар Рокоссовского,1789582,II квартал,2021,1139049607
2812214,Сокольническая линия,Комсомольская,2312700,II квартал,2021,1139049609
522103,Сокольническая линия,Парк культуры,542644,II квартал,2021,1139049610
3236004,Серпуховско-Тимирязевская линия,Савёловская,3252978,I квартал,2021,1139049612
520869,Сокольническая линия,Воробьёвы горы,505579,I квартал,2021,1139049613
520869,Сокольническая линия,Воробьёвы горы,505579,II квартал,2021,1139049614
1305311,Сокольническая линия,Спортивная,1457156,II квартал,2021,1139049615
1276615,Сокольническая линия,Тропарёво,1248852,I квартал,2021,1139049616
1276615,Сокольническая линия,Тропарёво,1248852,II квартал,2021,1139049617
1287879,Филёвская линия,Александровский сад,1288855,I квартал,2021,1139049618
726826,Филёвская линия,Филёвский парк,715266,I квартал,2021,1139049621
80371,Московская монорельсовая транспортная система,Выставочный центр,70484,I квартал,2021,1139049622
16623,Московская монорельсовая транспортная система,Улица академика Королёва,15107,I квартал,2021,1139049624
21328,Московская монорельсовая транспортная система,Улица Сергея Эйзенштейна,18392,I квартал,2021,1139049625
468808,Московское центральное кольцо,Соколиная Гора,494108,I квартал,2021,1139049635
659189,Московское центральное кольцо,Хорошёво,699665,I квартал,2021,1139049636
648659,Московское центральное кольцо,Шелепиха,706123,I квартал,2021,1139049637
796268,Большая кольцевая линия,Народное Ополчение,772015,II квартал,2021,1139049640
268111,Бутовская линия Лёгкого метро,Битцевский парк,208437,II квартал,2021,1139049642
768890,Бутовская линия Лёгкого метро,Бульвар адмирала Ушакова,764304,II квартал,2021,1139049643
1600773,Бутовская линия Лёгкого метро,Бунинская аллея,1571625,II квартал,2021,1139049644
405603,Бутовская линия Лёгкого метро,Лесопарковая,386897,II квартал,2021,1139049645
715714,Бутовская линия Лёгкого метро,Улица Горчакова,709550,II квартал,2021,1139049646
1426718,Бутовская линия Лёгкого метро,Улица Скобелевская,1385807,II квартал,2021,1139049647
1678296,Калининская линия,Шоссе Энтузиастов,1811184,II квартал,2021,1139049649
4599802,Калужско-Рижская линия,Китай-город,4721453,II квартал,2021,1139049650
2985765,Калужско-Рижская линия,Ленинский проспект,3430008,II квартал,2021,1139049651
1029860,Калужско-Рижская линия,Октябрьская,1083877,II квартал,2021,1139049652
1632203,Кольцевая линия,Краснопресненская,1660214,II квартал,2021,1139049657
3838347,Кольцевая линия,Курская,3472638,II квартал,2021,1139049658
2064078,Кольцевая линия,Проспект Мира,2136455,II квартал,2021,1139049662
572449,Люблинско-Дмитровская линия,Крестьянская застава,601333,II квартал,2021,1139049664
1927732,Люблинско-Дмитровская линия,Петровско-Разумовская,1913912,II квартал,2021,1139049665
744466,Люблинско-Дмитровская линия,Сретенский бульвар,786496,II квартал,2021,1139049666
0,Кольцевая линия,Новослободская,0,II квартал,2021,1139049667
1626734,Кольцевая линия,Добрынинская,1689539,II квартал,2021,1139049668
4089074,Калужско-Рижская линия,Медведково,3975142,II квартал,2021,1139049669
3817866,Калужско-Рижская линия,Бабушкинская,3817005,II квартал,2021,1139049670
1928256,Калужско-Рижская линия,Свиблово,1946306,II квартал,2021,1139049671
1365089,Калужско-Рижская линия,Ботанический сад,1552209,II квартал,2021,1139049672
5529818,Калужско-Рижская линия,ВДНХ,5303556,II квартал,2021,1139049673
2596264,Калужско-Рижская линия,Алексеевская,2671422,II квартал,2021,1139049674
0,Калужско-Рижская линия,Рижская,0,II квартал,2021,1139049675
1583637,Калужско-Рижская линия,Сухаревская,1659698,II квартал,2021,1139049676
1423046,Калужско-Рижская линия,Тургеневская,1491326,II квартал,2021,1139049677
2009040,Калужско-Рижская линия,Шаболовская,2111527,II квартал,2021,1139049678
2669379,Калужско-Рижская линия,Академическая,2676127,II квартал,2021,1139049679
2604323,Калужско-Рижская линия,Профсоюзная,2673503,II квартал,2021,1139049680
3106411,Калужско-Рижская линия,Новые Черёмушки,3160892,II квартал,2021,1139049681
3044765,Калужско-Рижская линия,Калужская,3141925,II квартал,2021,1139049682
2758911,Калужско-Рижская линия,Беляево,2795993,II квартал,2021,1139049683
2074779,Калужско-Рижская линия,Коньково,2066561,II квартал,2021,1139049684
4651899,Калужско-Рижская линия,Тёплый стан,4591088,II квартал,2021,1139049685
2282077,Калужско-Рижская линия,Ясенево,2254808,II квартал,2021,1139049686
510585,Калужско-Рижская линия,Новоясеневская,501925,II квартал,2021,1139049687
3417950,Таганско-Краснопресненская линия,Планерная,3286803,II квартал,2021,1139049688
3987004,Таганско-Краснопресненская линия,Сходненская,3936678,II квартал,2021,1139049689
4037799,Таганско-Краснопресненская линия,Тушинская,3907369,II квартал,2021,1139049690
273915,Таганско-Краснопресненская линия,Спартак,263980,II квартал,2021,1139049691
3212270,Таганско-Краснопресненская линия,Щукинская,3238647,II квартал,2021,1139049694
3303534,Таганско-Краснопресненская линия,Октябрьское поле,3376128,II квартал,2021,1139049695
2611312,Таганско-Краснопресненская линия,Полежаевская,2663983,II квартал,2021,1139049696
3462079,Таганско-Краснопресненская линия,Беговая,3505240,II квартал,2021,1139049697
3472221,Таганско-Краснопресненская линия,Улица 1905 года,3608239,II квартал,2021,1139049698
1785546,Таганско-Краснопресненская линия,Баррикадная,1836160,II квартал,2021,1139049699
3697402,Таганско-Краснопресненская линия,Пушкинская,3824660,II квартал,2021,1139049700
1865619,Таганско-Краснопресненская линия,Кузнецкий мост,1956594,II квартал,2021,1139049701
2597746,Таганско-Краснопресненская линия,Пролетарская,2632474,II квартал,2021,1139049702
4630805,Таганско-Краснопресненская линия,Текстильщики,4640605,II квартал,2021,1139049703
4948295,Таганско-Краснопресненская линия,Кузьминки,4953417,II квартал,2021,1139049704
5372512,Таганско-Краснопресненская линия,Выхино,5237952,II квартал,2021,1139049705
1949439,Таганско-Краснопресненская линия,Жулебино,1886445,II квартал,2021,1139049706
3973672,Таганско-Краснопресненская линия,Котельники,3584425,II квартал,2021,1139049707
4767775,Калининская линия,Новокосино,4626518,II квартал,2021,1139049708
5548074,Калининская линия,Новогиреево,5384637,II квартал,2021,1139049709
3287642,Калининская линия,Перово,3265689,II квартал,2021,1139049710
1845247,Калининская линия,Площадь Ильича,1864248,II квартал,2021,1139049712
