IncomingPassengers,Line,NameOfStation,OutgoingPassengers,Quarter,Year,global_id
16623,Московская монорельсовая транспортная система,Улица академика Королёва,15107,II квартал,2021,1139049801
18621,Московская монорельсовая транспортная система,Улица Милашенкова,17205,II квартал,2021,1139049802
614931,Московское центральное кольцо,Андроновка,628492,II квартал,2021,1139049805
970050,Московское центральное кольцо,Балтийская,1038238,II квартал,2021,1139049806
77363,Московское центральное кольцо,Белокаменная,80367,II квартал,2021,1139049807
1128115,Московское центральное кольцо,Верхние Котлы,1180003,II квартал,2021,1139049810
549471,Московское центральное кольцо,ЗИЛ,578450,II квартал,2021,1139049814
343860,Московское центральное кольцо,Зорге,361909,II квартал,2021,1139049815
687328,Московское центральное кольцо,Измайлово,750448,II квартал,2021,1139049816
1111465,Московское центральное кольцо,Коптево,1164799,II квартал,2021,1139049817
782159,Московское центральное кольцо,Крымская,819785,II квартал,2021,1139049818
824899,Московское центральное кольцо,Лихоборы,842746,II квартал,2021,1139049820
674911,Московское центральное кольцо,Локомотив,758584,II квартал,2021,1139049821
680069,Московское центральное кольцо,Лужники,804553,II квартал,2021,1139049822
494519,Московское центральное кольцо,Новохохловская,520755,II квартал,2021,1139049824
491565,Московское центральное кольцо,Панфиловская,522341,II квартал,2021,1139049826
910616,Московское центральное кольцо,Площадь Гагарина,1125787,II квартал,2021,1139049827
2138809,Московское центральное кольцо,Ростокино,2173513,II квартал,2021,1139049828
468808,Московское центральное кольцо,Соколиная Гора,494108,II квартал,2021,1139049829
1078075,Московское центральное кольцо,Стрешнево,1126433,II квартал,2021,1139049830
329670,Московское центральное кольцо,Угрешская,356471,II квартал,2021,1139049831
659189,Московское центральное кольцо,Хорошёво,699665,II квартал,2021,1139049832
21328,Московская монорельсовая транспортная система,Улица Сергея Эйзенштейна,18392,II квартал,2021,1139049835
1744083,Арбатско-Покровская линия,Курская,1755109,II квартал,2021,1139050918
1134266,Арбатско-Покровская линия,Кунцевская,1146144,I квартал,2021,1139050920
1019923,Арбатско-Покровская линия,Парк Победы,998721,I квартал,2021,1139050921
2301645,Сокольническая линия,Сокольники,2331979,II квартал,2021,1139050923
0,Арбатско-Покровская линия,Смоленская,0,I квартал,2021,1139050924
3276377,Калининская линия,Авиамоторная,3421074,II квартал,2021,1139050925
2436498,Сокольническая линия,Проспект Вернадского,2437657,II квартал,2021,1139050926
2273416,Арбатско-Покровская линия,Арбатская,2373439,I квартал,2021,1139050927
807729,Большая кольцевая линия,Петровский парк,819640,II квартал,2021,1139050928
43525,Московская монорельсовая транспортная система,Тимирязевская,38091,I квартал,2021,1139050929
1522995,Арбатско-Покровская линия,Курская,1540141,I квартал,2021,1139050930
824537,Большая кольцевая линия,Шелепиха,848390,II квартал,2021,1139050931
472838,Московское центральное кольцо,Автозаводская,531541,I квартал,2021,1139050932
1963304,Сокольническая линия,Сокольники,1986175,I квартал,2021,1139050933
1317067,Солнцевская линия,Озёрная,1301533,II квартал,2021,1139050934
842533,Московское центральное кольцо,Ботанический сад,1026219,I квартал,2021,1139050935
2168063,Сокольническая линия,Проспект Вернадского,2169456,I квартал,2021,1139050936
400298,Солнцевская линия,Парк Победы,412962,II квартал,2021,1139050937
869366,Московское центральное кольцо,Бульвар Рокоссовского,911094,I квартал,2021,1139050938
2835525,Кольцевая линия,Киевская,2799306,I квартал,2021,1139050939
1118613,Таганско-Краснопресненская линия,Таганская,1149560,II квартал,2021,1139050940
653437,Московское центральное кольцо,Владыкино,833596,I квартал,2021,1139050941
3132174,Кольцевая линия,Белорусская,3066857,I квартал,2021,1139050942
504848,Филёвская линия,Арбатская,482833,II квартал,2021,1139050943
1263911,Московское центральное кольцо,Деловой центр,1344650,I квартал,2021,1139050944
688091,Филёвская линия,Кунцевская,676405,II квартал,2021,1139050945
1853886,Кольцевая линия,Таганская,1918432,I квартал,2021,1139050946
802965,Московское центральное кольцо,Дубровка,852089,I квартал,2021,1139050947
624911,Филёвская линия,Кутузовская,662047,II квартал,2021,1139050948
2754059,Кольцевая линия,Павелецкая,2857563,I квартал,2021,1139050949
1450055,Московское центральное кольцо,Кутузовская,1591831,I квартал,2021,1139050950
1752887,Филёвская линия,Смоленская,1799799,II квартал,2021,1139050951
1524933,Московское центральное кольцо,Нижегородская,1635336,I квартал,2021,1139050952
1598582,Кольцевая линия,Октябрьская,1668261,I квартал,2021,1139050953
58537,Московская монорельсовая транспортная система,Тимирязевская,50495,II квартал,2021,1139050954
1240909,Московское центральное кольцо,Окружная,1266941,I квартал,2021,1139050955
2780848,Кольцевая линия,Парк культуры,2897742,I квартал,2021,1139050956
652573,Московское центральное кольцо,Шоссе Энтузиастов,731678,I квартал,2021,1139050958
1855291,Калужско-Рижская линия,Проспект Мира,1924780,I квартал,2021,1139050959
472838,Московское центральное кольцо,Автозаводская,531541,II квартал,2021,1139050960
1276196,Большая кольцевая линия,Деловой центр,1246325,II квартал,2021,1139050961
587028,Филёвская линия,Кунцевская,571835,I квартал,2021,1139050962
842533,Московское центральное кольцо,Ботанический сад,1026219,II квартал,2021,1139050963
720136,Большая кольцевая линия,Савеловская,706104,II квартал,2021,1139050964
720136,Большая кольцевая линия,Савеловская,706104,I квартал,2021,1139050965
869366,Московское центральное кольцо,Бульвар Рокоссовского,911094,II квартал,2021,1139050966
3013520,Калининская линия,Авиамоторная,3142943,I квартал,2021,1139050967
2151825,Калининская линия,Третьяковская,2258667,II квартал,2021,1139050968
653437,Московское центральное кольцо,Владыкино,833596,II квартал,2021,1139050969
1842681,Калининская линия,Третьяковская,1939669,I квартал,2021,1139050970
1263911,Московское центральное кольцо,Деловой центр,1344650,II квартал,2021,1139050971
2013833,Калужско-Рижская линия,Проспект Мира,2095190,II квартал,2021,1139050972
802965,Московское центральное кольцо,Дубровка,852089,II квартал,2021,1139050973
752317,Большая кольцевая линия,Шелепиха,784118,I квартал,2021,1139050974
3626060,Кольцевая линия,Белорусская,3498349,II квартал,2021,1139050975
1062070,Большая кольцевая линия,Деловой центр,1053347,I квартал,2021,1139050976
1450055,Московское центральное кольцо,Кутузовская,1591831,II квартал,2021,1139050977
3239407,Кольцевая линия,Киевская,3162640,II квартал,2021,1139050978
6466685,Кольцевая линия,Комсомольская,5514132,I квартал,2021,1139050979
1524933,Московское центральное кольцо,Нижегородская,1635336,II квартал,2021,1139050980
7566022,Кольцевая линия,Комсомольская,6397013,II квартал,2021,1139050981
1240909,Московское центральное кольцо,Окружная,1266941,II квартал,2021,1139050982
1291769,Арбатско-Покровская линия,Кунцевская,1308586,II квартал,2021,1139050983
2260845,Кольцевая линия,Октябрьская,2331673,II квартал,2021,1139050984
648659,Московское центральное кольцо,Шелепиха,706123,II квартал,2021,1139050985
1285349,Арбатско-Покровская линия,Парк Победы,1259705,II квартал,2021,1139050986
3177057,Кольцевая линия,Павелецкая,3285363,II квартал,2021,1139050987
0,Арбатско-Покровская линия,Смоленская,0,II квартал,2021,1139050988
652573,Московское центральное кольцо,Шоссе Энтузиастов,731678,II квартал,2021,1139050989
2983513,Кольцевая линия,Парк культуры,3079648,II квартал,2021,1139050990
2554972,Арбатско-Покровская линия,Арбатская,2664923,II квартал,2021,1139050991
2119332,Кольцевая линия,Таганская,2191457,II квартал,2021,1139050992
380922,Некрасовская линия,Лефортово,380900,I квартал,2021,1146103169
455742,Некрасовская линия,Лефортово,455125,II квартал,2021,1146103172
361301,Некрасовская линия,Авиамоторная,361296,I квартал,2021,1146103236
513622,Некрасовская линия,Авиамоторная,513610,II квартал,2021,1146103248
375488,Некрасовская линия,Электрозаводская,375374,I квартал,2021,1146103262
463826,Некрасовская линия,Электрозаводская,463241,II квартал,2021,1146103275
30234,Московская монорельсовая транспортная система,Телецентр,27626,II квартал,2021,1146103358
796268,Большая кольцевая линия,Улица Народного ополчения,772015,II квартал,2021,1146103397
70458,Большая кольцевая линия,Мневники,67707,II квартал,2021,1146103399
514697,Филёвская линия,Международная,542625,I квартал,2021,1146422262
1179827,Филёвская линия,Выставочная,1173476,I квартал,2021,1146422463
